iter	Passed	Remaining
0	135	67365
1	210	52458
2	288	47872
3	368	45641
4	444	44052
5	518	42729
6	591	41639
7	675	41529
8	738	40269
9	798	39134
10	860	38243
11	935	38042
12	997	37357
13	1068	37075
14	1147	37087
15	1220	36924
16	1288	36599
17	1349	36125
18	1398	35414
19	1473	35360
20	1541	35160
21	1621	35237
22	1686	34982
23	1747	34653
24	1808	34357
25	1885	34374
26	1940	33997
27	2015	33975
28	2088	33919
29	2192	34352
30	2311	34974
31	2397	35063
32	2474	35023
33	2536	34770
34	2610	34678
35	2676	34497
36	2748	34390
37	2798	34022
38	2865	33876
39	2932	33724
40	2991	33484
41	3051	33279
42	3099	32940
43	3160	32758
44	3220	32563
45	3280	32374
46	3350	32292
47	3413	32141
48	3461	31856
49	3535	31815
50	3594	31642
51	3665	31579
52	3737	31520
53	3802	31407
54	3884	31426
55	3966	31445
56	4046	31450
57	4123	31421
58	4184	31276
59	4246	31141
60	4306	30990
61	4365	30840
62	4418	30649
63	4484	30550
64	4549	30449
65	4603	30272
66	4664	30146
67	4740	30114
68	4803	30003
69	4871	29925
70	4931	29795
71	4991	29669
72	5060	29599
73	5124	29500
74	5184	29381
75	5254	29316
76	5329	29276
77	5396	29194
78	5464	29120
79	5535	29060
80	5596	28949
81	5663	28871
82	5732	28800
83	5794	28694
84	5856	28594
85	5909	28446
86	5977	28376
87	6037	28267
88	6084	28099
89	6158	28054
90	6217	27945
91	6290	27898
92	6351	27797
93	6423	27743
94	6496	27693
95	6560	27609
96	6623	27516
97	6689	27441
98	6751	27346
99	6808	27233
100	6881	27187
101	6942	27090
102	7007	27011
103	7073	26933
104	7132	26832
105	7208	26795
106	7269	26701
107	7338	26634
108	7400	26545
109	7461	26453
110	7522	26361
111	7573	26236
112	7636	26152
113	7709	26103
114	7771	26018
115	7844	25968
116	7923	25936
117	8025	25980
118	8128	26025
119	8202	25975
120	8290	25969
121	8357	25895
122	8426	25826
123	8485	25729
124	8554	25663
125	8613	25567
126	8668	25459
127	8728	25366
128	8803	25318
129	8874	25258
